Class,Name,Image
dry,Plastic bag,https://i.pinimg.com/originals/84/f0/43/84f0431b3e6ced12b56042c25d9fddea.jpg
dry,Hairs,https://cdn.techexplorist.com/wp-content/uploads/2020/01/human-hair.jpg
dry,Plastic bottle,https://thumbs.dreamstime.com/z/plastic-bottles-white-background-plastic-bottles-white-background-recycle-concept-132301873.jpg
dry,Food packaging,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTSEiVkSBnArLiVnev0n47LprXpF24HUbWPzQ&usqp=CAU
dry,Milk container,https://i.pinimg.com/originals/2f/7f/f8/2f7ff887486365878c61aba70f11cec2.jpg
dry,Styrofoam cup and plate,https://d36rd3gki5z3d3.cloudfront.net/wp-content/uploads/2018/10/iStock-486225056-styrofoam-in-bag.jpg
dry,Junk mail,https://c8.alamy.com/comp/A5AXEM/waste-paper-bin-full-of-unwanted-junk-mail-A5AXEM.jpg
dry,Plastic cup,https://thumbs.dreamstime.com/z/plastic-cups-coffee-cup-use-was-laid-waste-to-be-junk-34474625.jpg
wet,Vegetables,https://cdn.openpr.com/R/4/R40913449_g.jpg
wet,Fruit peels,https://www.fcsi.org/wp-content/uploads/2016/06/shutterstock_313688300-636x334.jpg
wet,Wood,https://www.yandles.co.uk/images/products/large/yandles/25976.jpg
wet,Pencil shavings,https://thumbs.dreamstime.com/b/pencil-shavings-lies-pile-white-background-concept-children-s-creativity-wooden-waste-pencil-shavings-lies-157353963.jpg
wet,Food scraps,https://grist.org/wp-content/uploads/2016/11/food-scraps-shutterstock-c.jpg
wet,Egg shells,https://www.conserve-energy-future.com/wp-content/uploads/2016/06/egg-shells-hatched-chicks-open.jpg
wet,Used tissues,https://www.mesacc.edu/sites/default/files/pages/section/other/recycling-sustainability/images/tissues.jpg
wet,Used tea bags,https://im.idiva.com/content/2020/Apr/Dont-Throw-Away-Your-Tea-Bags-They-Have-These-7-Skin-Benefits-iDiva-1_5e947329b41d2.jpg
wet,Nails,https://happynailsyakima.com/wp-content/uploads/2016/01/Trim-your-nails-by-happy-nails-of-yakima.jpg
wet,Chewing Gum,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRSVvW_WzfRlJosNNITl3BvE2g7OgzFzcoVPw&usqp=CAU
wet,Bones,https://st4.depositphotos.com/1004423/22629/i/1600/depositphotos_226296128-stock-photo-chicken-bones-eating-white-background.jpg
wet,Flower,https://primrosecreations.com/wp-content/uploads/2019/09/flower-compost2.2.jpg
wet,Fallen leaf,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ1VAY-Isu6ok1-8ZBBHIh163EhFrT0L7St2A&usqp=CAU
recycle,Newspapers,https://image.shutterstock.com/image-photo/newspapers-stack-on-white-background-260nw-179929862.jpg
recycle,Magazines,https://c8.alamy.com/comp/CEFH3C/house-magazines-on-white-background-CEFH3C.jpg
recycle,Office paper,https://c8.alamy.com/comp/D76TJR/office-in-tray-piled-high-with-a-large-amount-of-overwhelming-work-D76TJR.jpg
recycle,Cardboard,https://previews.123rf.com/images/koya79/koya791202/koya79120200021/12330639-open-empty-cardboard-box-3d-illustration-isolated-on-white-background.jpg
recycle,Hard plastic bottles,https://cdn.fmcgbusiness.co.nz/wp-content/uploads/2017/01/03115127/4-Unilever-commits-to-recycle.jpg
