Name,Image
Toxic,https://static.wikia.nocookie.net/gemmy/images/9/9f/191245228103.jpg/revision/latest?cb=20190810023124
Infectious,https://image.shutterstock.com/image-vector/throwing-infectious-waste-yellow-bin-260nw-1757622764.jpg
Radioactive,https://thumbs.dreamstime.com/z/barrel-radioactive-materials-28409050.jpg
Paints,https://previews.123rf.com/images/digitalgenetics/digitalgenetics1407/digitalgenetics140700004/29654485-3d-render-of-colorful-paint-bucket-on-white-background.jpg
Pesticides,https://previews.123rf.com/images/ra3rn/ra3rn1502/ra3rn150200017/36375932-garden-spray-pesticides-isolated-on-white-background.jpg
Propane tanks,https://previews.123rf.com/images/ubonwanu/ubonwanu1803/ubonwanu180300022/97130705-green-lpg-cooking-gas-cylinder-or-propane-tank-isolated-on-white-background.jpg
Syringes,https://previews.123rf.com/images/jethrotu/jethrotu2001/jethrotu200100079/138468279-three-syringes-with-medicinal-solution-on-white-background-with-reflection-and-water-drops-2-and-5-m.jpg
Used motor oil,https://thumbs.dreamstime.com/z/pouring-engine-oil-20575387.jpg
Cleaning products,https://previews.123rf.com/images/maxxyustas/maxxyustas1212/maxxyustas121200012/16647966-plastic-detergent-bottles-on-white-background-cleaning-products-3d.jpg
Batteries,https://thumbs.dreamstime.com/z/batteries-corrosion-various-shapes-sizes-lies-loose-white-background-environmental-protection-recycling-used-104936063.jpg
Spray cans,https://d2gg9evh47fn9z.cloudfront.net/800px_COLOURBOX7129671.jpg
Thinners and solvents,https://davidneat.files.wordpress.com/2013/05/acetone.jpg
