Name,Image
Newspapers,https://image.shutterstock.com/image-photo/newspapers-stack-on-white-background-260nw-179929862.jpg
Magazines,https://c8.alamy.com/comp/CEFH3C/house-magazines-on-white-background-CEFH3C.jpg
Office paper,https://c8.alamy.com/comp/D76TJR/office-in-tray-piled-high-with-a-large-amount-of-overwhelming-work-D76TJR.jpg
Cardboard,https://previews.123rf.com/images/koya79/koya791202/koya79120200021/12330639-open-empty-cardboard-box-3d-illustration-isolated-on-white-background.jpg
Hard plastic bottles,https://cdn.fmcgbusiness.co.nz/wp-content/uploads/2017/01/03115127/4-Unilever-commits-to-recycle.jpg
Steel tin,https://st.depositphotos.com/1001877/3814/i/950/depositphotos_38143849-stock-photo-food-tin-can-on-white.jpg
Aluminium cans,https://previews.123rf.com/images/kittisaktaramas/kittisaktaramas1110/kittisaktaramas111000050/11041092-3d-illustration-of-three-aluminum-cans-over-white-background.jpg
Glass bottles,https://thumbs.dreamstime.com/z/empty-glass-bottles-white-background-recycling-problem-137945593.jpg
Mobile phones,https://image.shutterstock.com/image-photo/pile-four-black-smartphones-silver-260nw-243462598.jpg
Scrap metal,https://thumbs.dreamstime.com/b/pile-scrap-metal-shavings-isolated-white-background-scrap-metal-recycling-plant-site-pile-scrap-metal-shavings-isolated-183438251.jpg
Clothing,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSAziNHIjvbwMcaD2fda8a1iQXWFDCTf1ODTw&usqp=CAU
