Name,Image
Vegetables,https://cdn.openpr.com/R/4/R40913449_g.jpg
Fruit peels,https://www.fcsi.org/wp-content/uploads/2016/06/shutterstock_313688300-636x334.jpg
Wood,https://www.yandles.co.uk/images/products/large/yandles/25976.jpg
Pencil shavings,https://thumbs.dreamstime.com/b/pencil-shavings-lies-pile-white-background-concept-children-s-creativity-wooden-waste-pencil-shavings-lies-157353963.jpg
Food scraps,https://grist.org/wp-content/uploads/2016/11/food-scraps-shutterstock-c.jpg
Egg shells,https://www.conserve-energy-future.com/wp-content/uploads/2016/06/egg-shells-hatched-chicks-open.jpg
Used tissues,https://www.mesacc.edu/sites/default/files/pages/section/other/recycling-sustainability/images/tissues.jpg
Used tea bags,https://im.idiva.com/content/2020/Apr/Dont-Throw-Away-Your-Tea-Bags-They-Have-These-7-Skin-Benefits-iDiva-1_5e947329b41d2.jpg
Nails,https://happynailsyakima.com/wp-content/uploads/2016/01/Trim-your-nails-by-happy-nails-of-yakima.jpg
Chewing Gum,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRSVvW_WzfRlJosNNITl3BvE2g7OgzFzcoVPw&usqp=CAU
Bones,https://st4.depositphotos.com/1004423/22629/i/1600/depositphotos_226296128-stock-photo-chicken-bones-eating-white-background.jpg
Flower,https://primrosecreations.com/wp-content/uploads/2019/09/flower-compost2.2.jpg
Fallen leaf,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ1VAY-Isu6ok1-8ZBBHIh163EhFrT0L7St2A&usqp=CAU
